ZCTA5,STATE,PLACE,CLASSFP,GEOID,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,PLPOP,PLHU,PLAREA,PLAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,PLPOPPCT,PLHUPCT,PLAREAPCT,PLAREALANDPCT
07750,34,47130,C5,3447130,3279,1981,5358901,2784894,3279,1981,5358901,2784894,3279,1981,5358901,2784894,100,100,100,100,100,100,100,100
07751,34,48030,U1,3448030,5040,1583,14060888,14045248,19736,6318,41893528,41784726,5040,1583,14060888,14045248,25.54,25.06,33.56,33.61,100,100,100,100
07751,34,63900,U1,3463900,6900,2265,8853255,8842186,19736,6318,41893528,41784726,11297,3941,15363210,15330460,34.96,35.85,21.13,21.16,61.08,57.47,57.63,57.68
07753,34,49920,C5,3449920,4869,2312,2470275,2470275,37554,16847,49112936,47387500,4869,2312,2470275,2470275,12.97,13.72,5.03,5.21,100,100,100,100
07753,34,66840,U1,3466840,3697,1577,2539623,2307310,37554,16847,49112936,47387500,3697,1577,2539623,2307310,9.84,9.36,5.17,4.87,100,100,100,100
07753,34,73020,C5,3473020,6967,4310,14556821,14485916,37554,16847,49112936,47387500,17892,8766,40462802,40110427,18.55,25.58,29.64,30.57,38.94,49.17,35.98,36.12
07755,34,53790,U1,3453790,3995,1473,4177783,4171285,6363,2508,7384388,7373964,3995,1473,4177783,4171285,62.78,58.73,56.58,56.57,100,100,100,100
07756,34,54480,U1,3454480,3342,3132,1108601,963903,3342,3132,1108625,963903,3342,3132,1108601,963903,100,100,100,100,100,100,100,100
07757,34,54570,C5,3454570,5356,2163,7924850,6441254,5356,2163,7924850,6441254,5832,2390,9837623,8237183,100,100,100,100,91.84,90.5,80.56,78.2
07758,34,04600,U1,3404600,252,125,153900,153900,4967,1842,4033239,3940531,1768,616,3401329,3312849,5.07,6.79,3.82,3.91,14.25,20.29,4.52,4.65
07758,34,60360,U1,3460360,2528,971,2549702,2460818,4967,1842,4033239,3940531,3818,1441,3476810,3371019,50.9,52.71,63.22,62.45,66.21,67.38,73.33,73
07760,34,49740,U1,3449740,267,94,287381,265422,9283,4104,28448538,19625299,2020,732,2320597,2291051,2.88,2.29,1.01,1.35,13.22,12.84,12.38,11.59
07760,34,65130,C5,3465130,7122,2585,18432469,13100857,9283,4104,28448538,19625299,7122,2585,18432469,13100857,76.72,62.99,64.79,66.75,100,100,100,100
07760,34,66240,C5,3466240,1412,1211,3332504,1889505,9283,4104,28448538,19625299,1412,1211,3332504,1889505,15.21,29.51,11.71,9.63,100,100,100,100
07762,34,70110,C5,3470110,2993,2048,4475270,3443974,8403,5480,8360402,7261344,2993,2048,4475270,3443974,35.62,37.37,53.53,47.43,100,100,100,100
07762,34,70140,C5,3470140,4713,2972,3390857,3324833,8403,5480,8360402,7261344,4713,2972,3390857,3324833,56.09,54.23,40.56,45.79,100,100,100,100
07764,34,79310,C5,3479310,8097,2528,7495718,7402799,8097,2528,7495718,7402799,8097,2528,7495718,7402799,100,100,100,100,100,100,100,100
07801,34,18070,C5,3418070,18125,5771,6388046,6294158,25386,8495,26251399,25380427,18157,5783,7069865,6950904,71.4,67.93,24.33,24.8,99.82,99.79,90.36,90.55
07801,34,75890,C5,3475890,1520,566,377840,377840,25386,8495,26251399,25380427,1520,566,377840,377840,5.99,6.66,1.44,1.49,100,100,100,100
07801,34,80390,C5,3480390,31,9,13066,13066,25386,8495,26251399,25380427,6522,2426,5746348,5558333,0.12,0.11,0.05,0.05,0.48,0.37,0.23,0.24
07820,34,00640,U1,3400640,10,4,51831,51071,39,17,6233248,6222653,78,35,210919,209484,25.64,23.53,0.83,0.82,12.82,11.43,24.57,24.38
07821,34,01330,C5,3401330,606,263,3809925,3761458,9193,3731,115917568,112067383,606,263,3809925,3761458,6.59,7.05,3.29,3.36,100,100,100,100
07821,34,32910,C5,3432910,875,524,15748265,14768369,9193,3731,115917568,112067383,15147,6296,31722428,28112998,9.52,14.04,13.59,13.18,5.78,8.32,49.64,52.53
07821,34,36150,U1,3436150,9,4,90133,90133,9193,3731,115917568,112067383,101,45,508591,508591,0.1,0.11,0.08,0.08,8.91,8.89,17.72,17.72
07821,34,38040,U1,3438040,585,184,1338225,1338225,9193,3731,115917568,112067383,9916,4100,15987046,12963575,6.36,4.93,1.15,1.19,5.9,4.49,8.37,10.32
07822,34,64860,U1,3464860,13,7,1281206,1274209,887,312,17228656,17185413,13,7,1281206,1274209,1.47,2.24,7.44,7.41,100,100,100,100
07823,34,04990,C5,3404990,2681,1140,3859068,3759498,7571,3543,66690440,65483140,2681,1140,3859068,3759498,35.41,32.18,5.79,5.74,100,100,100,100
07823,34,07660,U1,3407660,106,46,494868,494868,7571,3543,66690440,65483140,106,46,494868,494868,1.4,1.3,0.74,0.76,100,100,100,100
07823,34,08140,U2,3408140,675,502,547801,545884,7571,3543,66690440,65483140,675,502,547801,545884,8.92,14.17,0.82,0.83,100,100,100,100
07823,34,09100,U1,3409100,25,16,151032,151032,7571,3543,66690440,65483140,146,72,732432,729197,0.33,0.45,0.23,0.23,17.12,22.22,20.62,20.71
07823,34,48450,U2,3448450,575,315,3380710,2927394,7571,3543,66690440,65483140,575,315,3380710,2927394,7.59,8.89,5.07,4.47,100,100,100,100
07825,34,06130,U1,3406130,515,219,1120256,1101725,9555,3672,205749607,200878246,515,219,1120256,1101725,5.39,5.96,0.54,0.55,100,100,100,100
07825,34,33030,U1,3433030,195,102,1593091,1591542,9555,3672,205749607,200878246,195,102,1593091,1591542,2.04,2.78,0.77,0.79,100,100,100,100
07825,34,36150,U1,3436150,3,1,63162,63162,9555,3672,205749607,200878246,101,45,508591,508591,0.03,0.03,0.03,0.03,2.97,2.22,12.42,12.42
07825,34,43980,U1,3443980,82,36,836697,827631,9555,3672,205749607,200878246,82,36,836697,827631,0.86,0.98,0.41,0.41,100,100,100,100
07825,34,48840,U1,3448840,141,54,1227222,1196757,9555,3672,205749607,200878246,141,54,1227222,1196757,1.48,1.47,0.6,0.6,100,100,100,100
07825,34,67650,U2,3467650,368,155,2575311,2571134,9555,3672,205749607,200878246,368,155,2575311,2571134,3.85,4.22,1.25,1.28,100,100,100,100
07826,34,07300,C5,3407300,841,386,1552631,1534778,6180,2892,138381327,134971408,841,386,1552631,1534778,13.61,13.35,1.12,1.14,100,100,100,100
07828,34,08620,U1,3408620,8675,3328,14659049,12196009,14150,5918,40655409,36785351,8968,3423,16639171,14098555,61.31,56.24,36.06,33.15,96.73,97.22,88.1,86.51
07828,34,50130,C5,3450130,7,4,29376,29376,14150,5918,40655409,36785351,3232,1449,2376477,2186516,0.05,0.07,0.07,0.08,0.22,0.28,1.24,1.34
07830,34,09280,C5,3409280,1076,419,2518396,2458976,6503,2473,62458731,62092441,1076,419,2518396,2458976,16.55,16.94,4.03,3.96,100,100,100,100
07832,34,14590,U1,3414590,229,85,326546,258160,3903,1533,124657846,120937778,229,85,326546,258160,5.87,5.54,0.26,0.21,100,100,100,100
07832,34,28920,U1,3428920,91,36,405399,401998,3903,1533,124657846,120937778,91,36,405399,401998,2.33,2.35,0.33,0.33,100,100,100,100
07833,34,17200,U1,3417200,150,70,1062941,984525,157,74,1283262,1151923,150,70,1062941,984525,95.54,94.59,82.83,85.47,100,100,100,100
07834,34,80750,U1,3480750,0,0,78718,78718,17722,7170,33973339,31766082,8836,3152,11184484,9963590,0,0,0.23,0.25,0,0,0.7,0.79
07836,34,08620,U1,3408620,293,95,1980122,1902546,12568,4779,41674951,41357794,8968,3423,16639171,14098555,2.33,1.99,4.75,4.6,3.27,2.78,11.9,13.49
07836,34,71370,U1,3471370,118,44,369063,369063,12568,4779,41674951,41357794,9152,3163,13434972,13282268,0.94,0.92,0.89,0.89,1.29,1.39,2.75,2.78
07838,34,27360,U1,3427360,303,113,4089523,4054456,3568,1343,65041537,64434144,303,113,4089523,4054456,8.49,8.41,6.29,6.29,100,100,100,100
07838,34,55895,U2,3455895,293,187,856860,853294,3568,1343,65041537,64434144,3327,1710,7712708,7675806,8.21,13.92,1.32,1.32,8.81,10.94,11.11,11.12
07838,34,75950,U1,3475950,5,1,6656,6397,3568,1343,65041537,64434144,981,337,7598327,7569114,0.14,0.07,0.01,0.01,0.51,0.3,0.09,0.08
07840,34,00640,U1,3400640,68,31,159088,158413,29849,12373,91558407,90521733,78,35,210919,209484,0.23,0.25,0.17,0.17,87.18,88.57,75.43,75.62
07840,34,04252,U1,3404252,4554,2091,7863121,7799400,29849,12373,91558407,90521733,4554,2091,7863121,7799400,15.26,16.9,8.59,8.62,100,100,100,100
07840,34,28710,C5,3428710,9724,3755,9613067,9341247,29849,12373,91558407,90521733,9724,3755,9613067,9341247,32.58,30.35,10.5,10.32,100,100,100,100
07840,34,55895,U2,3455895,3034,1523,6855848,6822512,29849,12373,91558407,90521733,3327,1710,7712708,7675806,10.16,12.31,7.49,7.54,91.19,89.06,88.89,88.88
07840,34,75950,U1,3475950,784,270,7014149,6993600,29849,12373,91558407,90521733,981,337,7598327,7569114,2.63,2.18,7.66,7.73,79.92,80.12,92.31,92.4
07842,34,38430,U1,3438430,19,7,32203,28438,130,57,3625287,3389600,1255,464,5847901,5699072,14.62,12.28,0.89,0.84,1.51,1.51,0.55,0.5
07843,34,32910,C5,3432910,12241,5053,13071153,10441619,12241,5053,13071153,10441619,15147,6296,31722428,28112998,100,100,100,100,80.81,80.26,41.2,37.14
07846,34,36150,U1,3436150,89,40,355296,355296,89,40,355296,355296,101,45,508591,508591,100,100,100,100,88.12,88.89,69.86,69.86
07847,34,36720,U1,3436720,1462,566,2102314,1704785,1670,655,6021370,5564466,3009,1149,4094866,3444084,87.54,86.41,34.91,30.64,48.59,49.26,51.34,49.5
07849,34,32910,C5,3432910,46,33,70030,70030,9054,3831,24340164,19172107,15147,6296,31722428,28112998,0.51,0.86,0.29,0.37,0.3,0.52,0.22,0.25
07850,34,48690,C5,3448690,1179,449,743585,704814,6436,2475,9547444,8346083,5050,2545,7560189,5625047,18.32,18.14,7.79,8.44,23.35,17.64,9.84,12.53
07852,34,36720,U1,3436720,0,0,6129,6129,3609,1422,7912937,7769633,3009,1149,4094866,3444084,0,0,0.08,0.08,0,0,0.15,0.18
07853,34,41400,U1,3441400,1879,709,11973715,11825356,13325,4460,88622537,87920144,1879,709,11973715,11825356,14.1,15.9,13.51,13.45,100,100,100,100
07856,34,48690,C5,3448690,3871,2096,6816604,4920233,3944,2119,11208780,9086123,5050,2545,7560189,5625047,98.15,98.91,60.81,54.15,76.65,82.36,90.16,87.47
07857,34,50130,C5,3450130,3225,1445,2347101,2157140,3244,1451,3023842,2816213,3232,1449,2376477,2186516,99.41,99.59,77.62,76.6,99.78,99.72,98.76,98.66
07860,34,15610,U1,3415610,1178,514,6928205,6611455,26288,10994,270290075,260658128,1178,514,6928205,6611455,4.48,4.68,2.56,2.54,100,100,100,100
07860,34,51930,C5,3451930,7997,3479,8206955,8147342,26288,10994,270290075,260658128,7997,3479,8206955,8147342,30.42,31.64,3.04,3.13,100,100,100,100
07863,34,09100,U1,3409100,121,56,581400,578165,4332,1669,61885505,61421735,146,72,732432,729197,2.79,3.36,0.94,0.94,82.88,77.78,79.38,79.29
07863,34,55500,U1,3455500,1090,514,1798452,1784711,4332,1669,61885505,61421735,1090,514,1798452,1784711,25.16,30.8,2.91,2.91,100,100,100,100
07865,34,01300,U1,3401300,276,126,1900875,1900875,2189,889,35533382,35192330,342,155,2444716,2436454,12.61,14.17,5.35,5.4,80.7,81.29,77.75,78.02
07865,34,60450,U1,3460450,129,63,435173,432680,2189,889,35533382,35192330,129,63,435173,432680,5.89,7.09,1.22,1.23,100,100,100,100
07866,34,18070,C5,3418070,32,12,681819,656746,22098,8525,63389039,57415649,18157,5783,7069865,6950904,0.14,0.14,1.08,1.14,0.18,0.21,9.64,9.45
07866,34,38430,U1,3438430,1236,457,5699194,5554130,22098,8525,63389039,57415649,1255,464,5847901,5699072,5.59,5.36,8.99,9.67,98.49,98.49,97.46,97.46
07866,34,64050,C5,3464050,6438,2521,5487920,5367171,22098,8525,63389039,57415649,6438,2521,5487920,5367171,29.13,29.57,8.66,9.35,100,100,100,100
07866,34,80750,U1,3480750,8599,3074,10632021,9426456,22098,8525,63389039,57415649,8836,3152,11184484,9963590,38.91,36.06,16.77,16.42,97.32,97.53,95.06,94.61
07871,34,38040,U1,3438040,9331,3916,14648821,11625350,21165,7960,103572882,98195349,9916,4100,15987046,12963575,44.09,49.2,14.14,11.84,94.1,95.51,91.63,89.68
07874,34,09170,U2,3409170,90,40,2893965,2893965,8905,3347,35010103,32777404,90,40,2893965,2893965,1.01,1.2,8.27,8.83,100,100,100,100
07874,34,32910,C5,3432910,1985,686,2832980,2832980,8905,3347,35010103,32777404,15147,6296,31722428,28112998,22.29,20.5,8.09,8.64,13.1,10.9,8.93,10.08
07874,34,70380,C5,3470380,3610,1472,5667167,4755027,8905,3347,35010103,32777404,3610,1472,5667167,4755027,40.54,43.98,16.19,14.51,100,100,100,100
07876,34,36720,U1,3436720,1547,583,1986423,1733170,10619,3718,15189812,14783855,3009,1149,4094866,3444084,14.57,15.68,13.08,11.72,51.41,50.74,48.51,50.32
07876,34,71370,U1,3471370,9034,3119,13065909,12913205,10619,3718,15189812,14783855,9152,3163,13434972,13282268,85.07,83.89,86.02,87.35,98.71,98.61,97.25,97.22
07880,34,75950,U1,3475950,192,66,577522,569117,192,66,577522,569117,981,337,7598327,7569114,100,100,100,100,19.57,19.58,7.6,7.52
07882,34,01300,U1,3401300,66,29,543841,535579,14492,5936,82074053,81701109,342,155,2444716,2436454,0.46,0.49,0.66,0.66,19.3,18.71,22.25,21.98
07882,34,07360,U1,3407360,1555,575,7598768,7557373,14492,5936,82074053,81701109,1555,575,7598768,7557373,10.73,9.69,9.26,9.25,100,100,100,100
07882,34,08020,U1,3408020,158,66,858316,857991,14492,5936,82074053,81701109,244,127,961693,961368,1.09,1.11,1.05,1.05,64.75,51.97,89.25,89.25
07882,34,52050,U1,3452050,47,18,75871,75871,14492,5936,82074053,81701109,421,180,2457363,2457363,0.32,0.3,0.09,0.09,11.16,10,3.09,3.09
07882,34,60210,U1,3460210,122,59,509332,509332,14492,5936,82074053,81701109,122,59,509332,509332,0.84,0.99,0.62,0.62,100,100,100,100
07882,34,77270,C5,3477270,6461,2897,5039049,5030052,14492,5936,82074053,81701109,6461,2897,5039049,5030052,44.58,48.8,6.14,6.16,100,100,100,100
07885,34,38430,U1,3438430,0,0,116504,116504,10078,3983,40814509,38943107,1255,464,5847901,5699072,0,0,0.29,0.3,0,0,1.99,2.04
07885,34,80390,C5,3480390,6491,2417,5733282,5545267,10078,3983,40814509,38943107,6522,2426,5746348,5558333,64.41,60.68,14.05,14.24,99.52,99.63,99.77,99.76
07885,34,80750,U1,3480750,237,78,473745,458416,10078,3983,40814509,38943107,8836,3152,11184484,9963590,2.35,1.96,1.16,1.18,2.68,2.47,4.24,4.6
07901,34,51810,C5,3451810,1143,493,635361,635361,22806,8761,16525576,16392286,12171,4537,9492020,9428376,5.01,5.63,3.84,3.88,9.39,10.87,6.69,6.74
07901,34,71430,C5,3471430,21457,8190,15661346,15528056,22806,8761,16525576,16392286,21457,8190,15661346,15528056,94.08,93.48,94.77,94.73,100,100,100,100
07920,34,44430,U1,3444430,746,269,1263668,1215820,26747,10254,60677146,60221229,11980,4461,32111188,31913642,2.79,2.62,2.08,2.02,6.23,6.03,3.94,3.81
07922,34,51810,C5,3451810,37,12,18019,18019,12246,4266,14460237,14319069,12171,4537,9492020,9428376,0.3,0.28,0.12,0.13,0.3,0.26,0.19,0.19
07924,34,05590,C5,3405590,7534,2801,31504497,31316178,7534,2801,31504497,31316178,7707,2871,33619176,33424912,100,100,100,100,97.76,97.56,93.71,93.69
07928,34,12100,C5,3412100,8954,3203,6121442,5987852,19144,7229,23200346,22371622,8962,3210,6280552,6146962,46.77,44.31,26.39,26.77,99.91,99.78,97.47,97.41
07930,34,12580,C5,3412580,1649,647,4131380,4127339,8559,3022,66416089,66243107,1649,647,4131380,4127339,19.27,21.41,6.22,6.23,100,100,100,100
07931,34,05590,C5,3405590,173,70,2114679,2108734,3296,1226,53859000,53454883,7707,2871,33619176,33424912,5.25,5.71,3.93,3.94,2.24,2.44,6.29,6.31
07931,34,22890,C5,3422890,919,418,12641064,12423890,3296,1226,53859000,53454883,919,418,12641064,12423890,27.88,34.09,23.47,23.24,100,100,100,100
07931,34,57300,C5,3457300,471,122,5790911,5691843,3296,1226,53859000,53454883,2582,949,15159214,15043712,14.29,9.95,10.75,10.65,18.24,12.86,38.2,37.84
07932,34,12100,C5,3412100,8,7,159110,159110,9868,4164,18179721,17543525,8962,3210,6280552,6146962,0.08,0.17,0.88,0.91,0.09,0.22,2.53,2.59
07932,34,23910,C5,3423910,9860,4157,18020611,17384415,9868,4164,18179721,17543525,11696,4201,19527552,18875120,99.92,99.83,99.12,99.09,84.3,98.95,92.28,92.1
07934,34,57300,C5,3457300,1442,563,5519785,5506843,1501,593,9524302,9510008,2582,949,15159214,15043712,96.07,94.94,57.95,57.91,55.85,59.33,36.41,36.61
07940,34,23910,C5,3423910,1394,17,1050816,1034580,17278,5805,12101296,12049120,11696,4201,19527552,18875120,8.07,0.29,8.68,8.59,11.92,0.4,5.38,5.48
07940,34,42510,C5,3442510,15845,5775,10926356,10891444,17278,5805,12101296,12049120,15845,5775,10926356,10891444,91.71,99.48,90.29,90.39,100,100,100,100
07945,34,45330,C5,3445330,4981,1798,15541387,15411394,9539,3333,49281519,48513732,4981,1798,15541387,15411394,52.22,53.95,31.54,31.77,100,100,100,100
07950,34,48210,C5,3448210,5532,2197,6717925,6622565,19564,7681,23795082,23498102,5532,2197,6717925,6622565,28.28,28.6,28.23,28.18,100,100,100,100
07960,34,23910,C5,3423910,438,27,350447,350447,43747,17730,91628208,90676124,11696,4201,19527552,18875120,1,0.15,0.38,0.39,3.74,0.64,1.79,1.86
07960,34,48300,C5,3448300,18411,8172,7839231,7587137,43747,17730,91628208,90676124,18411,8172,7839231,7587137,42.09,46.09,8.56,8.37,100,100,100,100
07961,34,23910,C5,3423910,4,0,105678,105678,4,0,105678,105678,11696,4201,19527552,18875120,100,0,100,100,0.03,0,0.54,0.56
07974,34,51810,C5,3451810,10991,4032,8838640,8774996,11768,4300,10402239,10337640,12171,4537,9492020,9428376,93.4,93.77,84.97,84.88,90.3,88.87,93.12,93.07
07977,34,57300,C5,3457300,669,264,3848518,3845026,669,264,3848518,3845026,2582,949,15159214,15043712,100,100,100,100,25.91,27.82,25.39,25.56
08001,34,00850,U1,3400850,798,299,5660336,5487560,844,317,6492963,6317687,1402,533,18445007,17787565,94.55,94.32,87.18,86.86,56.92,56.1,30.69,30.85
08002,34,12385,U1,3412385,12231,5120,8150637,8141145,22274,9644,18932778,18604377,14171,5941,9442923,9433431,54.91,53.09,43.05,43.76,86.31,86.18,86.31,86.3
08002,34,21120,U1,3421120,3917,1816,1778045,1778045,22274,9644,18932778,18604377,4413,1976,2343627,2343627,17.59,18.83,9.39,9.56,88.76,91.9,75.87,75.87
08002,34,26902,U1,3426902,4145,1826,7636723,7347186,22274,9644,18932778,18604377,4145,1826,7636723,7347186,18.61,18.93,40.34,39.49,100,100,100,100
08003,34,01990,U1,3401990,4738,1734,4105338,4095978,30629,11306,28728403,28689176,8302,3215,7561101,7546944,15.47,15.34,14.29,14.28,57.07,53.93,54.3,54.27
08003,34,27995,U1,3427995,11337,4122,10644287,10624921,30629,11306,28728403,28689176,11367,4134,12085874,12066508,37.01,36.46,37.05,37.03,99.74,99.71,88.07,88.05
08003,34,39420,C5,3439420,36,16,295992,295992,30629,11306,28728403,28689176,2945,1174,3646997,3646997,0.12,0.14,1.03,1.03,1.22,1.36,8.12,8.12
08003,34,69900,U1,3469900,14518,5434,13682786,13672285,30629,11306,28728403,28689176,14518,5434,13863677,13853176,47.4,48.06,47.63,47.66,100,100,98.7,98.69
08005,34,03040,U1,3403040,2817,1132,6907779,6875480,22448,9866,126022248,122661615,2817,1132,6907779,6875480,12.55,11.47,5.48,5.61,100,100,100,100
08005,34,54315,U1,3454315,925,279,5882888,5876560,22448,9866,126022248,122661615,16142,5923,15426502,15146985,4.12,2.83,4.67,4.79,5.73,4.71,38.13,38.8
08006,34,03130,C5,3403130,518,1164,1870189,1677227,518,1164,3430205,1677227,574,1282,2207425,1893474,100,100,54.52,100,90.24,90.8,84.72,88.58
08007,34,03250,C5,3403250,5167,2317,3241102,3241102,5250,2353,3351826,3351826,6983,3158,4161486,4161486,98.42,98.47,96.7,96.7,73.99,73.37,77.88,77.88
08007,34,28800,C5,3428800,0,0,15028,15028,5250,2353,3351826,3351826,7473,3159,4076288,4062715,0,0,0.45,0.45,0,0,0.37,0.37
08007,34,65160,C5,3465160,83,36,95696,95696,5250,2353,3351826,3351826,8468,3548,5477250,5326946,1.58,1.53,2.86,2.86,0.98,1.01,1.75,1.8
08008,34,03130,C5,3403130,56,118,337236,216247,6975,17855,99028630,28189743,574,1282,2207425,1893474,0.8,0.66,0.34,0.77,9.76,9.2,15.28,11.42
08008,34,03940,C5,3403940,1170,2667,6009564,2533744,6975,17855,99028630,28189743,1170,2667,6009564,2533744,16.77,14.94,6.07,8.99,100,100,100,100
08008,34,30390,C5,3430390,337,1214,3069716,1443621,6975,17855,99028630,28189743,337,1214,3069716,1443621,4.83,6.8,3.1,5.12,100,100,100,100
08008,34,52410,U1,3452410,2235,6214,4740081,4699732,6975,17855,99028630,28189743,2235,6214,4740081,4699732,32.04,34.8,4.79,16.67,100,100,100,100
08008,34,67110,C5,3467110,1156,2066,2592242,1847494,6975,17855,99028630,28189743,1156,2066,2592242,1847494,16.57,11.57,2.62,6.55,100,100,100,100
08008,34,71640,C5,3471640,1205,2566,2376447,1930615,6975,17855,99028630,28189743,1205,2566,2376447,1930615,17.28,14.37,2.4,6.85,100,100,100,100
08009,34,05440,C5,3405440,7588,2949,9326134,9292601,12854,5019,35923165,35441870,7588,2949,9326134,9292601,59.03,58.76,25.96,26.22,100,100,100,100
08009,34,58770,C5,3458770,1262,469,2871139,2780756,12854,5019,35923165,35441870,10233,4357,10135541,10026102,9.82,9.34,7.99,7.85,12.33,10.76,28.33,27.74
08010,34,05740,C5,3405740,2577,1086,2031272,1436786,11539,5046,11293638,9919487,2577,1086,2031272,1436786,22.33,21.52,17.99,14.48,100,100,100,100
08012,34,06040,U1,3406040,4545,1800,3199159,3176012,38992,15639,39247394,38700797,4545,1800,3199159,3176012,11.66,11.51,8.15,8.21,100,100,100,100
08012,34,26520,U1,3426520,6,8,79537,51418,38992,15639,39247394,38700797,4750,1976,2750847,2694864,0.02,0.05,0.2,0.13,0.13,0.4,2.89,1.91
08012,34,74270,U1,3474270,2057,702,2434057,2415863,38992,15639,39247394,38700797,3742,1237,3870520,3850630,5.28,4.49,6.2,6.24,54.97,56.75,62.89,62.74
08015,34,08455,U1,3408455,11223,4268,14533862,13899589,20763,8007,126892572,123560172,11223,4268,14533862,13899589,54.05,53.3,11.45,11.25,100,100,100,100
08015,34,15250,U1,3415250,3943,1482,3524284,2839641,20763,8007,126892572,123560172,3943,1482,3524284,2839641,18.99,18.51,2.78,2.3,100,100,100,100
08015,34,60840,U1,3460840,2365,819,2809113,2754412,20763,8007,126892572,123560172,2365,819,2809113,2754412,11.39,10.23,2.21,2.23,100,100,100,100
08016,34,08920,C5,3408920,9920,4223,9792935,7931923,33540,12681,62312929,58939938,9920,4223,9792935,7931923,29.58,33.3,15.72,13.46,100,100,100,100
08016,34,64350,U1,3464350,2,1,29540,29540,33540,12681,62312929,58939938,3715,1481,3035923,2609558,0.01,0.01,0.05,0.05,0.05,0.07,0.97,1.13
08021,34,13420,C5,3413420,5000,2235,5108476,4957836,44833,19762,34156938,33648544,5000,2235,5108476,4957836,11.15,11.31,14.96,14.73,100,100,100,100
08021,34,39210,C5,3439210,1908,771,1219716,1186843,44833,19762,34156938,33648544,1908,771,1219716,1186843,4.26,3.9,3.57,3.53,100,100,100,100
08021,34,40440,C5,3440440,17613,8251,10240957,10080988,44833,19762,34156938,33648544,17613,8251,10240957,10080988,39.29,41.75,29.98,29.96,100,100,100,100
08021,34,58770,C5,3458770,8971,3888,7264402,7245346,44833,19762,34156938,33648544,10233,4357,10135541,10026102,20.01,19.67,21.27,21.53,87.67,89.24,71.67,72.26
08021,34,58920,C5,3458920,12,22,2580051,2540906,44833,19762,34156938,33648544,12,22,2580051,2540906,0.03,0.11,7.55,7.55,100,100,100,100
08022,34,36300,U1,3436300,228,87,1860193,1860193,8783,3572,57164343,56960748,429,150,3326752,3326752,2.6,2.44,3.25,3.27,53.15,58,55.92,55.92
08023,34,10600,U1,3410600,40,23,396008,377026,451,208,2704743,2566558,7382,3217,22714933,21578610,8.87,11.06,14.64,14.69,0.54,0.71,1.74,1.75
08023,34,57840,U1,3457840,411,185,2308735,2189532,451,208,2704743,2566558,11888,5209,26992727,26069219,91.13,88.94,85.36,85.31,3.46,3.55,8.55,8.4
08026,34,26070,C5,3426070,2274,809,5753693,5652715,2274,809,5753693,5652715,2274,809,5753693,5652715,100,100,100,100,100,100,100,100
08027,34,26100,U1,3426100,3739,1551,4253023,4252961,4888,2042,26784535,19159930,3739,1551,4253023,4252961,76.49,75.95,15.88,22.2,100,100,100,100
08028,34,13360,C5,3413360,207,82,612976,612976,20078,7121,39879439,39670546,8179,3128,18993988,18492257,1.03,1.15,1.54,1.55,2.53,2.62,3.23,3.31
08028,34,26340,C5,3426340,18107,6398,23409177,23314405,20078,7121,39879439,39670546,18579,6590,23882149,23787377,90.18,89.85,58.7,58.77,97.46,97.09,98.02,98.01
08028,34,62820,U1,3462820,145,49,3363139,3342668,20078,7121,39879439,39670546,3459,1101,23077233,22920572,0.72,0.69,8.43,8.43,4.19,4.45,14.57,14.58
08029,34,26520,U1,3426520,4744,1968,2671310,2643446,4784,1983,2709149,2681285,4750,1976,2750847,2694864,99.16,99.24,98.6,98.59,99.87,99.6,97.11,98.09
08030,34,08170,C5,3408170,1954,805,1230789,1153318,13410,5517,8102472,6915677,1955,806,1358785,1273943,14.57,14.59,15.19,16.68,99.95,99.88,90.58,90.53
08030,34,26820,C5,3426820,11456,4712,6871683,5762359,13410,5517,8102472,6915677,11456,4712,7206257,6008927,85.43,85.41,84.81,83.32,100,100,95.36,95.9
08031,34,04750,C5,3404750,11583,4883,8056617,7716543,11584,4884,8184613,7837168,11583,4883,8056617,7716543,99.99,99.98,98.44,98.46,100,100,100,100
08031,34,08170,C5,3408170,1,1,127996,120625,11584,4884,8184613,7837168,1955,806,1358785,1273943,0.01,0.02,1.56,1.54,0.05,0.12,9.42,9.47
08033,34,03250,C5,3403250,1710,797,873444,873444,16261,6830,10248381,10110134,6983,3158,4161486,4161486,10.52,11.67,8.52,8.64,24.49,25.24,20.99,20.99
08033,34,28770,C5,3428770,11593,4634,7435005,7314540,16261,6830,10248381,10110134,11593,4634,7435005,7314540,71.29,67.85,72.55,72.35,100,100,100,100
08033,34,28800,C5,3428800,13,5,8953,8953,16261,6830,10248381,10110134,7473,3159,4076288,4062715,0.08,0.07,0.09,0.09,0.17,0.16,0.22,0.22
08033,34,72240,C5,3472240,5,3,664401,657798,16261,6830,10248381,10110134,5,3,664401,657798,0.03,0.04,6.48,6.51,100,100,100,100
08034,34,01990,U1,3401990,3564,1481,3455763,3450966,18151,7506,15404232,15390120,8302,3215,7561101,7546944,19.64,19.73,22.43,22.42,42.93,46.07,45.7,45.73
08034,34,02880,U2,3402880,4428,1651,4296534,4296534,18151,7506,15404232,15390120,4428,1651,4296534,4296534,24.4,22,27.89,27.92,100,100,100,100
