ZCTA5,STATE,PLACE,CLASSFP,GEOID,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,PLPOP,PLHU,PLAREA,PLAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,PLPOPPCT,PLHUPCT,PLAREAPCT,PLAREALANDPCT
00725,72,41274,U2,7241274,281,115,64670,64670,89374,38678,110381424,109190812,281,115,64670,64670,0.31,0.3,0.06,0.06,100,100,100,100
00725,72,59450,U2,7259450,677,287,125555,125555,89374,38678,110381424,109190812,677,287,125555,125555,0.76,0.74,0.11,0.11,100,100,100,100
00727,72,10334,U1,7210334,32137,13446,11082514,11080949,58382,23679,55854034,55827071,82243,36008,28516747,28272169,55.05,56.78,19.84,19.85,39.08,37.34,38.86,39.19
00727,72,33184,U2,7233184,3531,1204,1449616,1443356,58382,23679,55854034,55827071,3531,1204,1449616,1443356,6.05,5.08,2.6,2.59,100,100,100,100
00727,72,42842,U1,7242842,2570,1046,918390,914890,58382,23679,55854034,55827071,2570,1046,918390,914890,4.4,4.42,1.64,1.64,100,100,100,100
00727,72,47336,U2,7247336,267,99,188910,188910,58382,23679,55854034,55827071,267,99,188910,188910,0.46,0.42,0.34,0.34,100,100,100,100
00727,72,47422,U2,7247422,2129,911,638922,638922,58382,23679,55854034,55827071,2129,911,638922,638922,3.65,3.85,1.14,1.14,100,100,100,100
00728,72,63820,U1,7263820,40085,16085,35440366,26467842,44908,16698,62143525,40524719,132502,57856,118492035,79272895,89.26,96.33,57.03,65.31,30.25,27.8,29.91,33.39
00729,72,07496,U1,7207496,1409,516,940237,940237,53750,21688,88323600,87958918,1409,516,940237,940237,2.62,2.38,1.06,1.07,100,100,100,100
00729,72,11710,U1,7211710,3006,1217,1688618,1688618,53750,21688,88323600,87958918,3006,1217,1688618,1688618,5.59,5.61,1.91,1.92,100,100,100,100
00729,72,12828,U1,7212828,7297,3023,6101500,5923387,53750,21688,88323600,87958918,7297,3023,6101500,5923387,13.58,13.94,6.91,6.73,100,100,100,100
00729,72,46626,U1,7246626,890,371,830388,830388,53750,21688,88323600,87958918,956,395,885619,885619,1.66,1.71,0.94,0.94,93.1,93.92,93.76,93.76
00729,72,76339,U1,7276339,6828,2791,1470470,1470470,53750,21688,88323600,87958918,6828,2791,1470470,1470470,12.7,12.87,1.66,1.67,100,100,100,100
00729,72,77672,U1,7277672,4622,1954,1694276,1693718,53750,21688,88323600,87958918,4622,1954,1694276,1693718,8.6,9.01,1.92,1.93,100,100,100,100
00730,72,63820,U1,7263820,35742,16253,16965166,16841332,35742,16253,16973860,16850026,132502,57856,118492035,79272895,100,100,99.95,99.95,26.97,28.09,14.32,21.24
00731,72,21020,U1,7221020,260,101,453574,453574,15524,5962,126414374,123332268,260,101,453574,453574,1.67,1.69,0.36,0.37,100,100,100,100
00731,72,25835,U1,7225835,1716,624,828207,828207,15524,5962,126414374,123332268,1716,624,828207,828207,11.05,10.47,0.66,0.67,100,100,100,100
00731,72,45170,U2,7245170,665,239,244685,244685,15524,5962,126414374,123332268,665,239,244685,244685,4.28,4.01,0.19,0.2,100,100,100,100
00731,72,51700,U1,7251700,1011,368,1210840,1210840,15524,5962,126414374,123332268,1011,368,1210840,1210840,6.51,6.17,0.96,0.98,100,100,100,100
00731,72,54688,U2,7254688,137,103,1050190,1047164,15524,5962,126414374,123332268,137,103,1050190,1047164,0.88,1.73,0.83,0.85,100,100,100,100
00731,72,63820,U1,7263820,1927,734,2986121,2912690,15524,5962,126414374,123332268,132502,57856,118492035,79272895,12.41,12.31,2.36,2.36,1.45,1.27,2.52,3.67
00731,72,82055,U2,7282055,362,116,1222118,1222118,15524,5962,126414374,123332268,362,116,1222118,1222118,2.33,1.95,0.97,0.99,100,100,100,100
00731,72,85025,U1,7285025,528,239,277603,277603,15524,5962,126414374,123332268,528,239,277603,277603,3.4,4.01,0.22,0.23,100,100,100,100
00735,72,01003,U1,7201003,3006,1402,7081962,7081962,13730,7749,62204914,60362550,3006,1402,7081962,7081962,21.89,18.09,11.38,11.73,100,100,100,100
00735,72,15924,U1,7215924,5633,2564,2848070,2848070,13730,7749,62204914,60362550,5633,2564,2848070,2848070,41.03,33.09,4.58,4.72,100,100,100,100
00736,72,15494,U1,7215494,16680,7796,6569383,6567907,51532,22315,142781219,142701655,16680,7796,6569383,6567907,32.37,34.94,4.6,4.6,100,100,100,100
00736,72,30544,U1,7230544,1751,709,1977680,1977680,51532,22315,142781219,142701655,1751,709,1977680,1977680,3.4,3.18,1.39,1.39,100,100,100,100
00736,72,59425,U1,7259425,314,147,121986,121986,51532,22315,142781219,142701655,1579,644,1664271,1664271,0.61,0.66,0.09,0.09,19.89,22.83,7.33,7.33
00738,72,27964,U1,7227964,26859,13387,20047573,19965909,34922,18383,154956494,76243980,28930,14395,21191882,21069332,76.91,72.82,12.94,26.19,92.84,93,94.6,94.76
