GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2015 Inflation-adjusted dollars)
8600000US00601,00601,ZCTA5 00601,13042,1873
8600000US00602,00602,ZCTA5 00602,18596,1306
8600000US00603,00603,ZCTA5 00603,20677,1752
8600000US00606,00606,ZCTA5 00606,15180,2593
8600000US00610,00610,ZCTA5 00610,20270,1909
8600000US00612,00612,ZCTA5 00612,20550,1460
8600000US00616,00616,ZCTA5 00616,18516,4231
8600000US00617,00617,ZCTA5 00617,17350,1908
8600000US00622,00622,ZCTA5 00622,22324,3957
8600000US00623,00623,ZCTA5 00623,21024,1547
8600000US00624,00624,ZCTA5 00624,16860,1385
8600000US00627,00627,ZCTA5 00627,20880,1440
8600000US00631,00631,ZCTA5 00631,13063,5890
8600000US00637,00637,ZCTA5 00637,19588,1743
8600000US00638,00638,ZCTA5 00638,16397,2056
8600000US00641,00641,ZCTA5 00641,19270,1493
8600000US00646,00646,ZCTA5 00646,32036,2533
8600000US00647,00647,ZCTA5 00647,15371,2933
8600000US00650,00650,ZCTA5 00650,17998,3868
8600000US00652,00652,ZCTA5 00652,23537,4505
8600000US00653,00653,ZCTA5 00653,14758,1626
8600000US00656,00656,ZCTA5 00656,17395,1663
8600000US00659,00659,ZCTA5 00659,22286,1917
8600000US00660,00660,ZCTA5 00660,25675,1865
8600000US00662,00662,ZCTA5 00662,17781,1219
8600000US00664,00664,ZCTA5 00664,19053,3717
8600000US00667,00667,ZCTA5 00667,15318,1706
8600000US00669,00669,ZCTA5 00669,14398,1263
8600000US00670,00670,ZCTA5 00670,18791,3402
8600000US00674,00674,ZCTA5 00674,23280,1232
8600000US00676,00676,ZCTA5 00676,17456,1747
8600000US00677,00677,ZCTA5 00677,19534,2184
8600000US00678,00678,ZCTA5 00678,17063,1412
8600000US00680,00680,ZCTA5 00680,19454,1406
8600000US00682,00682,ZCTA5 00682,21121,2254
8600000US00683,00683,ZCTA5 00683,20283,2005
8600000US00685,00685,ZCTA5 00685,16869,1310
8600000US00687,00687,ZCTA5 00687,18809,1266
8600000US00688,00688,ZCTA5 00688,17736,2551
8600000US00690,00690,ZCTA5 00690,20504,4505
8600000US00692,00692,ZCTA5 00692,20792,2004
8600000US00693,00693,ZCTA5 00693,20667,1602
8600000US00694,00694,ZCTA5 00694,-,**
8600000US00698,00698,ZCTA5 00698,18536,1811
8600000US00703,00703,ZCTA5 00703,17522,1587
8600000US00704,00704,ZCTA5 00704,18304,6039
8600000US00705,00705,ZCTA5 00705,20724,1991
8600000US00707,00707,ZCTA5 00707,21563,1581
8600000US00714,00714,ZCTA5 00714,17336,1819
8600000US00715,00715,ZCTA5 00715,13699,2013
8600000US00716,00716,ZCTA5 00716,22240,1877
8600000US00717,00717,ZCTA5 00717,15460,2504
8600000US00718,00718,ZCTA5 00718,20822,2428
8600000US00719,00719,ZCTA5 00719,21151,2547
8600000US00720,00720,ZCTA5 00720,15715,1251
8600000US00723,00723,ZCTA5 00723,16345,1389
8600000US00725,00725,ZCTA5 00725,23932,1394
8600000US00727,00727,ZCTA5 00727,32277,1249
8600000US00728,00728,ZCTA5 00728,19188,1366
8600000US00729,00729,ZCTA5 00729,24746,2460
8600000US00730,00730,ZCTA5 00730,18314,1354
8600000US00731,00731,ZCTA5 00731,18500,3164
8600000US00735,00735,ZCTA5 00735,23945,3513
8600000US00736,00736,ZCTA5 00736,23904,1461
8600000US00738,00738,ZCTA5 00738,24226,2020
8600000US00739,00739,ZCTA5 00739,24903,1965
8600000US00740,00740,ZCTA5 00740,13933,3712
8600000US00741,00741,ZCTA5 00741,20472,4948
8600000US00745,00745,ZCTA5 00745,25983,1511
8600000US00751,00751,ZCTA5 00751,17420,2307
8600000US00754,00754,ZCTA5 00754,20307,1869
8600000US00757,00757,ZCTA5 00757,19185,2474
8600000US00765,00765,ZCTA5 00765,23085,3417
8600000US00766,00766,ZCTA5 00766,20362,1862
8600000US00767,00767,ZCTA5 00767,20039,1923
8600000US00769,00769,ZCTA5 00769,20864,1787
8600000US00771,00771,ZCTA5 00771,22471,1850
8600000US00772,00772,ZCTA5 00772,18439,1061
8600000US00773,00773,ZCTA5 00773,22476,1964
8600000US00775,00775,ZCTA5 00775,23243,2411
8600000US00777,00777,ZCTA5 00777,21581,1070
8600000US00778,00778,ZCTA5 00778,34612,4073
8600000US00780,00780,ZCTA5 00780,26250,4244
8600000US00782,00782,ZCTA5 00782,14849,1224
8600000US00783,00783,ZCTA5 00783,17550,1731
8600000US00784,00784,ZCTA5 00784,18565,1619
8600000US00786,00786,ZCTA5 00786,21397,9892
8600000US00791,00791,ZCTA5 00791,22339,1619
8600000US00794,00794,ZCTA5 00794,15110,1492
8600000US00795,00795,ZCTA5 00795,20962,1128
8600000US00901,00901,ZCTA5 00901,28672,7241
8600000US00906,00906,ZCTA5 00906,-,**
8600000US00907,00907,ZCTA5 00907,36768,5571
8600000US00909,00909,ZCTA5 00909,17211,3958
8600000US00911,00911,ZCTA5 00911,44122,7234
8600000US00912,00912,ZCTA5 00912,19367,3034
8600000US00913,00913,ZCTA5 00913,6534,2180
8600000US00915,00915,ZCTA5 00915,15414,1074
8600000US00917,00917,ZCTA5 00917,16991,1651
8600000US00918,00918,ZCTA5 00918,35246,8182
8600000US00920,00920,ZCTA5 00920,30149,2377
8600000US00921,00921,ZCTA5 00921,20731,1508
8600000US00923,00923,ZCTA5 00923,17797,2158
8600000US00924,00924,ZCTA5 00924,23583,1923
8600000US00925,00925,ZCTA5 00925,16233,3680
8600000US00926,00926,ZCTA5 00926,39165,2082
8600000US00927,00927,ZCTA5 00927,45371,7243
8600000US00934,00934,ZCTA5 00934,-,**
8600000US00936,00936,ZCTA5 00936,-,**
8600000US00949,00949,ZCTA5 00949,28312,1576
8600000US00950,00950,ZCTA5 00950,-,**
8600000US00951,00951,ZCTA5 00951,-,**
8600000US00952,00952,ZCTA5 00952,21838,2706
8600000US00953,00953,ZCTA5 00953,33392,2173
8600000US00956,00956,ZCTA5 00956,25025,1299
8600000US00957,00957,ZCTA5 00957,26405,1615
8600000US00959,00959,ZCTA5 00959,33644,1848
8600000US00960,00960,ZCTA5 00960,-,**
8600000US00961,00961,ZCTA5 00961,35275,2380
8600000US00962,00962,ZCTA5 00962,19339,1898
8600000US00965,00965,ZCTA5 00965,19588,2965
8600000US00966,00966,ZCTA5 00966,74338,11423
8600000US00968,00968,ZCTA5 00968,71250,20417
8600000US00969,00969,ZCTA5 00969,61638,2958
8600000US00971,00971,ZCTA5 00971,26419,2906
8600000US00976,00976,ZCTA5 00976,33713,2269
8600000US00979,00979,ZCTA5 00979,45756,5930
8600000US00982,00982,ZCTA5 00982,29423,2164
8600000US00983,00983,ZCTA5 00983,30109,1439
8600000US00985,00985,ZCTA5 00985,28857,2277
8600000US00987,00987,ZCTA5 00987,35619,2586
8600000US01001,01001,ZCTA5 01001,81058,7763
8600000US01002,01002,ZCTA5 01002,96775,8735
8600000US01003,01003,ZCTA5 01003,-,**
8600000US01005,01005,ZCTA5 01005,91505,15714
8600000US01007,01007,ZCTA5 01007,90561,8429
8600000US01008,01008,ZCTA5 01008,80066,10082
8600000US01009,01009,ZCTA5 01009,40947,13112
8600000US01010,01010,ZCTA5 01010,105500,25533
8600000US01011,01011,ZCTA5 01011,74375,13376
8600000US01012,01012,ZCTA5 01012,67813,8754
8600000US01013,01013,ZCTA5 01013,48207,4360
8600000US01020,01020,ZCTA5 01020,67584,6539
8600000US01022,01022,ZCTA5 01022,66302,23971
8600000US01026,01026,ZCTA5 01026,53750,14823
8600000US01027,01027,ZCTA5 01027,72788,6099
8600000US01028,01028,ZCTA5 01028,100515,9716
8600000US01029,01029,ZCTA5 01029,53750,28298
8600000US01030,01030,ZCTA5 01030,84357,10681
8600000US01031,01031,ZCTA5 01031,56938,7174
8600000US01032,01032,ZCTA5 01032,76667,19783
8600000US01033,01033,ZCTA5 01033,93603,12805
8600000US01034,01034,ZCTA5 01034,85789,5462
8600000US01035,01035,ZCTA5 01035,91429,17693
8600000US01036,01036,ZCTA5 01036,89936,10050
8600000US01037,01037,ZCTA5 01037,110481,31696
8600000US01038,01038,ZCTA5 01038,79130,9221
8600000US01039,01039,ZCTA5 01039,90069,5898
8600000US01040,01040,ZCTA5 01040,41194,4025
8600000US01050,01050,ZCTA5 01050,74545,10844
8600000US01053,01053,ZCTA5 01053,81944,21430
8600000US01054,01054,ZCTA5 01054,96250,10393
8600000US01056,01056,ZCTA5 01056,73930,6078
8600000US01057,01057,ZCTA5 01057,85000,8487
8600000US01060,01060,ZCTA5 01060,84485,8107
8600000US01062,01062,ZCTA5 01062,91331,9542
8600000US01063,01063,ZCTA5 01063,-,**
8600000US01066,01066,ZCTA5 01066,-,**
8600000US01068,01068,ZCTA5 01068,85682,4326
8600000US01069,01069,ZCTA5 01069,69183,10635
8600000US01070,01070,ZCTA5 01070,62500,7417
8600000US01071,01071,ZCTA5 01071,80357,12503
8600000US01072,01072,ZCTA5 01072,85972,10308
8600000US01073,01073,ZCTA5 01073,91528,14864
8600000US01074,01074,ZCTA5 01074,-,**
8600000US01075,01075,ZCTA5 01075,82891,14664
8600000US01077,01077,ZCTA5 01077,91688,12524
8600000US01079,01079,ZCTA5 01079,55871,17634
8600000US01080,01080,ZCTA5 01080,45638,10338
8600000US01081,01081,ZCTA5 01081,59769,4503
8600000US01082,01082,ZCTA5 01082,66295,9201
8600000US01083,01083,ZCTA5 01083,46445,34266
8600000US01084,01084,ZCTA5 01084,55313,48504
8600000US01085,01085,ZCTA5 01085,77420,5420
8600000US01086,01086,ZCTA5 01086,-,**
8600000US01088,01088,ZCTA5 01088,77697,32728
8600000US01089,01089,ZCTA5 01089,68272,5654
8600000US01092,01092,ZCTA5 01092,73320,56905
8600000US01093,01093,ZCTA5 01093,109167,42230
8600000US01094,01094,ZCTA5 01094,91597,14004
8600000US01095,01095,ZCTA5 01095,110191,9901
8600000US01096,01096,ZCTA5 01096,84792,6329
8600000US01097,01097,ZCTA5 01097,-,**
8600000US01098,01098,ZCTA5 01098,84375,6722
8600000US01103,01103,ZCTA5 01103,15130,3275
8600000US01104,01104,ZCTA5 01104,37605,3193
8600000US01105,01105,ZCTA5 01105,19521,4575
8600000US01106,01106,ZCTA5 01106,130733,9789
8600000US01107,01107,ZCTA5 01107,26608,2419
8600000US01108,01108,ZCTA5 01108,35900,2053
8600000US01109,01109,ZCTA5 01109,36141,2384
8600000US01118,01118,ZCTA5 01118,62821,8976
8600000US01119,01119,ZCTA5 01119,54788,7316
8600000US01128,01128,ZCTA5 01128,79821,18681
8600000US01129,01129,ZCTA5 01129,67237,7041
8600000US01151,01151,ZCTA5 01151,33693,9230
8600000US01199,01199,ZCTA5 01199,-,**
8600000US01201,01201,ZCTA5 01201,59761,3099
8600000US01220,01220,ZCTA5 01220,61763,5415
8600000US01222,01222,ZCTA5 01222,79458,11737
8600000US01223,01223,ZCTA5 01223,71184,5262
8600000US01225,01225,ZCTA5 01225,74708,18254
8600000US01226,01226,ZCTA5 01226,65978,13984
8600000US01230,01230,ZCTA5 01230,80385,8423
8600000US01235,01235,ZCTA5 01235,74159,3677
8600000US01236,01236,ZCTA5 01236,72331,34678
8600000US01237,01237,ZCTA5 01237,88884,21380
8600000US01238,01238,ZCTA5 01238,73750,6422
8600000US01240,01240,ZCTA5 01240,98750,18566
8600000US01243,01243,ZCTA5 01243,91250,30109
8600000US01245,01245,ZCTA5 01245,67500,15823
8600000US01247,01247,ZCTA5 01247,53512,3660
8600000US01253,01253,ZCTA5 01253,80795,14679
8600000US01254,01254,ZCTA5 01254,113125,13366
8600000US01255,01255,ZCTA5 01255,75469,18042
8600000US01256,01256,ZCTA5 01256,63661,5438
8600000US01257,01257,ZCTA5 01257,65694,23402
8600000US01258,01258,ZCTA5 01258,95938,39170
8600000US01259,01259,ZCTA5 01259,112708,62103
8600000US01260,01260,ZCTA5 01260,61912,18338
8600000US01262,01262,ZCTA5 01262,64000,24488
8600000US01264,01264,ZCTA5 01264,85000,34912
8600000US01266,01266,ZCTA5 01266,97188,24591
8600000US01267,01267,ZCTA5 01267,98565,9430
8600000US01270,01270,ZCTA5 01270,91042,15775
8600000US01301,01301,ZCTA5 01301,65616,3678
8600000US01330,01330,ZCTA5 01330,84688,14690
8600000US01331,01331,ZCTA5 01331,67614,9408
8600000US01337,01337,ZCTA5 01337,75417,10552
8600000US01338,01338,ZCTA5 01338,82917,21367
8600000US01339,01339,ZCTA5 01339,62500,14093
8600000US01340,01340,ZCTA5 01340,59531,5591
8600000US01341,01341,ZCTA5 01341,100682,9213
8600000US01342,01342,ZCTA5 01342,126058,51675
8600000US01343,01343,ZCTA5 01343,81563,3054
8600000US01344,01344,ZCTA5 01344,69018,7346
8600000US01346,01346,ZCTA5 01346,68750,27879
8600000US01347,01347,ZCTA5 01347,39417,2500
8600000US01349,01349,ZCTA5 01349,78438,21423
8600000US01350,01350,ZCTA5 01350,67917,42927
8600000US01351,01351,ZCTA5 01351,88849,10413
8600000US01354,01354,ZCTA5 01354,86250,13248
8600000US01355,01355,ZCTA5 01355,78036,12259
8600000US01360,01360,ZCTA5 01360,85614,10175
8600000US01364,01364,ZCTA5 01364,53388,5615
8600000US01366,01366,ZCTA5 01366,88977,11262
8600000US01367,01367,ZCTA5 01367,65781,9557
8600000US01368,01368,ZCTA5 01368,68021,20059
8600000US01370,01370,ZCTA5 01370,74556,4261
8600000US01373,01373,ZCTA5 01373,78690,9240
8600000US01375,01375,ZCTA5 01375,65893,16408
8600000US01376,01376,ZCTA5 01376,55250,5619
8600000US01378,01378,ZCTA5 01378,74167,15360
8600000US01379,01379,ZCTA5 01379,58056,13985
8600000US01420,01420,ZCTA5 01420,56792,3442
8600000US01430,01430,ZCTA5 01430,106352,15069
8600000US01431,01431,ZCTA5 01431,88409,9544
8600000US01432,01432,ZCTA5 01432,93438,27222
8600000US01434,01434,ZCTA5 01434,80417,34144
8600000US01436,01436,ZCTA5 01436,82055,10628
8600000US01438,01438,ZCTA5 01438,70019,18483
8600000US01440,01440,ZCTA5 01440,55949,2321
8600000US01450,01450,ZCTA5 01450,135444,17404
8600000US01451,01451,ZCTA5 01451,140521,23868
8600000US01452,01452,ZCTA5 01452,94485,7695
