GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
8600000US00601,00601,ZCTA5 00601,7453,738
8600000US00602,00602,ZCTA5 00602,8474,400
8600000US00603,00603,ZCTA5 00603,10179,594
8600000US00606,00606,ZCTA5 00606,5863,706
8600000US00610,00610,ZCTA5 00610,8452,509
8600000US00612,00612,ZCTA5 00612,9922,501
8600000US00616,00616,ZCTA5 00616,7983,1030
8600000US00617,00617,ZCTA5 00617,7919,664
8600000US00622,00622,ZCTA5 00622,10906,3112
8600000US00623,00623,ZCTA5 00623,9257,641
8600000US00624,00624,ZCTA5 00624,7325,394
8600000US00627,00627,ZCTA5 00627,9234,620
8600000US00631,00631,ZCTA5 00631,5085,1108
8600000US00637,00637,ZCTA5 00637,7921,545
8600000US00638,00638,ZCTA5 00638,6831,536
8600000US00641,00641,ZCTA5 00641,7827,346
8600000US00646,00646,ZCTA5 00646,14332,1093
8600000US00647,00647,ZCTA5 00647,7460,945
8600000US00650,00650,ZCTA5 00650,7081,646
8600000US00652,00652,ZCTA5 00652,11169,1872
8600000US00653,00653,ZCTA5 00653,7126,1151
8600000US00656,00656,ZCTA5 00656,7794,549
8600000US00659,00659,ZCTA5 00659,9876,579
8600000US00660,00660,ZCTA5 00660,11096,940
8600000US00662,00662,ZCTA5 00662,8456,592
8600000US00664,00664,ZCTA5 00664,7205,668
8600000US00667,00667,ZCTA5 00667,7019,526
8600000US00669,00669,ZCTA5 00669,7659,599
8600000US00670,00670,ZCTA5 00670,6935,628
8600000US00674,00674,ZCTA5 00674,10146,472
8600000US00676,00676,ZCTA5 00676,7677,510
8600000US00677,00677,ZCTA5 00677,9421,793
8600000US00678,00678,ZCTA5 00678,8519,995
8600000US00680,00680,ZCTA5 00680,9320,750
8600000US00682,00682,ZCTA5 00682,10784,1029
8600000US00683,00683,ZCTA5 00683,9546,677
8600000US00685,00685,ZCTA5 00685,7511,456
8600000US00687,00687,ZCTA5 00687,7465,487
8600000US00688,00688,ZCTA5 00688,7870,867
8600000US00690,00690,ZCTA5 00690,11415,2145
8600000US00692,00692,ZCTA5 00692,9959,1120
8600000US00693,00693,ZCTA5 00693,9159,538
8600000US00694,00694,ZCTA5 00694,7627,5043
8600000US00698,00698,ZCTA5 00698,7768,468
8600000US00703,00703,ZCTA5 00703,8252,1408
8600000US00704,00704,ZCTA5 00704,7829,1023
8600000US00705,00705,ZCTA5 00705,8802,547
8600000US00707,00707,ZCTA5 00707,8374,1191
8600000US00714,00714,ZCTA5 00714,7573,842
8600000US00715,00715,ZCTA5 00715,6492,1344
8600000US00716,00716,ZCTA5 00716,13279,1043
8600000US00717,00717,ZCTA5 00717,9250,1137
8600000US00718,00718,ZCTA5 00718,9731,1692
8600000US00719,00719,ZCTA5 00719,9267,1308
8600000US00720,00720,ZCTA5 00720,6753,456
8600000US00723,00723,ZCTA5 00723,7643,892
8600000US00725,00725,ZCTA5 00725,11681,483
8600000US00727,00727,ZCTA5 00727,15991,738
8600000US00728,00728,ZCTA5 00728,8861,493
8600000US00729,00729,ZCTA5 00729,10603,557
8600000US00730,00730,ZCTA5 00730,10264,1046
8600000US00731,00731,ZCTA5 00731,9231,1807
8600000US00735,00735,ZCTA5 00735,10295,1423
8600000US00736,00736,ZCTA5 00736,12229,1000
8600000US00738,00738,ZCTA5 00738,10764,806
8600000US00739,00739,ZCTA5 00739,11919,625
8600000US00740,00740,ZCTA5 00740,7205,1865
8600000US00741,00741,ZCTA5 00741,8837,1314
8600000US00745,00745,ZCTA5 00745,10499,457
8600000US00751,00751,ZCTA5 00751,8302,579
8600000US00754,00754,ZCTA5 00754,10026,1054
8600000US00757,00757,ZCTA5 00757,9199,749
8600000US00765,00765,ZCTA5 00765,8783,956
8600000US00766,00766,ZCTA5 00766,8399,486
8600000US00767,00767,ZCTA5 00767,7961,513
8600000US00769,00769,ZCTA5 00769,9719,687
8600000US00771,00771,ZCTA5 00771,9825,695
8600000US00772,00772,ZCTA5 00772,7569,351
