GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With a disability:,Margin of Error; Total: - With a disability:,Estimate; Total: - With a disability: - Male,Margin of Error; Total: - With a disability: - Male,Estimate; Total: - With a disability: - Female,Margin of Error; Total: - With a disability: - Female,Estimate; Total: - No disability:,Margin of Error; Total: - No disability:,Estimate; Total: - No disability: - Male,Margin of Error; Total: - No disability: - Male,Estimate; Total: - No disability: - Female,Margin of Error; Total: - No disability: - Female
8600000US52229,52229,ZCTA5 52229,32333,2259,32656,4462,33125,5584,-,**,32264,2827,39250,14337,29167,12899
8600000US52231,52231,ZCTA5 52231,35000,11330,-,**,-,**,-,**,35179,11281,36750,14469,31250,15090
8600000US52232,52232,ZCTA5 52232,36250,4196,-,**,-,**,-,**,36250,4196,45714,7672,18750,15215
8600000US52233,52233,ZCTA5 52233,31728,2218,15551,2512,16591,3991,13274,9937,32820,4100,41820,5791,26379,4049
8600000US52236,52236,ZCTA5 52236,41587,4234,-,**,-,**,-,**,41587,4234,41905,12810,38000,21730
8600000US52240,52240,ZCTA5 52240,20533,2016,19778,4869,20870,4995,13250,9879,20601,2230,23280,2533,15884,2424
8600000US52242,52242,ZCTA5 52242,"2,500-",***,"2,500-",***,-,**,"2,500-",***,"2,500-",***,"2,500-",***,2544,1746
8600000US52245,52245,ZCTA5 52245,19659,2269,17000,10226,23750,10734,10068,5556,19880,2219,22140,5868,16366,3340
8600000US52253,52253,ZCTA5 52253,37426,8328,19079,6017,17961,2198,31181,18446,41193,6915,52182,6427,31821,9737
8600000US52257,52257,ZCTA5 52257,42697,8699,-,**,-,**,-,**,42697,8699,54688,13783,30208,18873
8600000US52302,52302,ZCTA5 52302,38248,2887,19545,7594,25573,17539,17068,5460,39985,2580,46861,3172,31201,2211
8600000US52305,52305,ZCTA5 52305,32708,10966,90500,69429,23750,17780,90917,9102,32072,9656,40625,15501,31042,2330
8600000US52306,52306,ZCTA5 52306,34327,4915,35455,24201,36591,13927,23864,8256,34199,5830,41540,2463,27188,6491
8600000US52307,52307,ZCTA5 52307,27353,13330,-,**,-,**,-,**,27353,13330,26471,5390,36250,23612
8600000US52313,52313,ZCTA5 52313,25365,11546,56023,15413,-,**,-,**,21250,10303,30430,6170,11484,724
8600000US52318,52318,ZCTA5 52318,31767,6137,18750,9645,16250,16196,-,**,32284,5978,32500,10402,31932,7982
8600000US52325,52325,ZCTA5 52325,41371,6055,"2,500-",***,-,**,-,**,41895,6708,60250,21985,27344,17817
8600000US52330,52330,ZCTA5 52330,29038,4060,24000,1152,26667,7345,23750,334,29865,4735,31597,20345,26507,4726
8600000US52334,52334,ZCTA5 52334,35750,5644,-,**,-,**,-,**,35750,5644,32143,9669,38929,30407
8600000US52335,52335,ZCTA5 52335,31181,9063,26118,4919,26382,4681,14000,3381,35278,11677,41281,2600,20521,4153
8600000US52338,52338,ZCTA5 52338,46367,4037,42361,13078,50625,17918,40536,5016,46441,4330,57386,4602,32465,3429
8600000US52341,52341,ZCTA5 52341,38304,16057,8155,1495,-,**,-,**,41304,15643,52703,20257,30167,18803
8600000US52348,52348,ZCTA5 52348,33750,4569,-,**,-,**,-,**,34583,5273,41250,17197,31250,18329
8600000US52353,52353,ZCTA5 52353,27730,3035,16806,6440,29861,18554,13009,3442,28789,3209,33420,2742,22308,3866
8600000US52354,52354,ZCTA5 52354,39167,5511,-,**,-,**,-,**,40221,6198,55000,14089,31250,9619
8600000US52355,52355,ZCTA5 52355,24444,3587,-,**,-,**,-,**,25298,4565,34688,9728,17250,6214
8600000US52359,52359,ZCTA5 52359,19904,7409,13125,7388,13125,6635,-,**,20040,6663,20994,4286,14042,7187
8600000US52402,52402,ZCTA5 52402,33561,2200,15844,2328,14269,2935,18795,5467,34927,1937,42113,2161,26820,1265
8600000US52404,52404,ZCTA5 52404,27125,1774,13611,7274,14167,10288,12357,10402,28446,2485,32813,2476,23531,2769
8600000US52405,52405,ZCTA5 52405,34476,1850,19709,4216,19524,8546,19886,5092,35301,1890,41764,1698,29285,1937
8600000US52501,52501,ZCTA5 52501,27143,1099,11883,5401,21774,11716,8775,3053,27858,1569,31503,877,24146,2716
8600000US52533,52533,ZCTA5 52533,30294,5314,30714,6297,31875,9845,30250,7035,30256,5525,35733,6695,19327,7924
8600000US52534,52534,ZCTA5 52534,21458,11590,-,**,-,**,-,**,23750,12029,36667,10037,15625,11845
8600000US52537,52537,ZCTA5 52537,26900,2771,11369,3722,13553,8688,8922,3129,28194,4394,36693,2202,18443,3950
8600000US52542,52542,ZCTA5 52542,27083,12570,24076,860,23913,426,-,**,32500,13396,45357,26602,16774,1078
8600000US52543,52543,ZCTA5 52543,42452,16310,-,**,-,**,-,**,45893,15126,55573,19445,41429,30190
8600000US52544,52544,ZCTA5 52544,26228,1539,14821,8612,13036,10306,18854,10218,26860,1754,34085,4230,23564,1620
8600000US52551,52551,ZCTA5 52551,37132,7503,-,**,-,**,-,**,36250,8737,41591,7536,27019,9795
8600000US52552,52552,ZCTA5 52552,31071,4774,23750,10278,25833,12044,-,**,31250,5717,32212,7112,29135,7233
8600000US52557,52557,ZCTA5 52557,-,**,-,**,-,**,-,**,-,**,-,**,-,**
8600000US52561,52561,ZCTA5 52561,25938,7307,22083,8589,21042,12793,28125,4951,27083,9891,41190,3482,12045,2556
8600000US52563,52563,ZCTA5 52563,24609,10046,17750,5790,19000,13144,15938,8220,28194,12451,40091,9282,15600,6715
8600000US52566,52566,ZCTA5 52566,29821,3583,-,**,-,**,-,**,29821,3583,34375,5381,20750,12957
8600000US52570,52570,ZCTA5 52570,24875,6112,31964,18128,32083,25980,-,**,24188,5313,30833,9599,20764,4805
8600000US52572,52572,ZCTA5 52572,28047,4299,51786,30163,43438,27410,67742,48574,26790,2893,27436,3359,23839,10319
8600000US52576,52576,ZCTA5 52576,28125,6331,53750,632,53250,44875,-,**,27262,6195,27386,8209,27125,8040
8600000US52577,52577,ZCTA5 52577,29576,2518,11438,3289,20682,8399,8832,3336,31211,1960,36551,1892,22236,2364
8600000US52580,52580,ZCTA5 52580,32083,4935,-,**,-,**,-,**,32135,5034,37500,23453,31736,2295
8600000US52585,52585,ZCTA5 52585,27368,8382,17050,14487,16500,9813,30268,16669,29844,7131,35250,11007,25114,8384
8600000US52586,52586,ZCTA5 52586,29500,6420,15938,3568,-,**,-,**,30278,7101,28472,5876,41250,26319
8600000US52588,52588,ZCTA5 52588,-,**,-,**,-,**,-,**,-,**,-,**,-,**
8600000US52591,52591,ZCTA5 52591,31970,3567,20458,7954,14167,4899,21292,2887,33167,2748,37028,3231,27061,6334
8600000US52601,52601,ZCTA5 52601,25377,1192,13413,2192,14692,4492,6942,3424,26200,1197,33399,3824,21451,2221
8600000US52619,52619,ZCTA5 52619,27163,17802,-,**,-,**,-,**,26827,14008,26058,13006,32222,26166
8600000US52620,52620,ZCTA5 52620,31538,8076,38654,6072,48333,10467,38269,12299,29167,8488,31111,10881,26389,12178
8600000US52623,52623,ZCTA5 52623,30709,3316,"2,500-",***,"2,500-",***,"2,500-",***,31325,2514,38519,4834,22639,3320
8600000US52624,52624,ZCTA5 52624,29798,16936,-,**,-,**,-,**,29516,13657,29879,26596,26797,26155
8600000US52626,52626,ZCTA5 52626,29875,6057,32596,23788,33365,15930,"2,500-",***,29833,5450,37396,4674,21489,2779
8600000US52627,52627,ZCTA5 52627,29615,3534,15052,9645,25156,17444,10950,5156,31013,2316,41171,2723,22090,2190
8600000US52632,52632,ZCTA5 52632,23750,2630,17835,3284,12064,6153,19155,1363,25456,2061,31190,2515,16939,1398
8600000US52638,52638,ZCTA5 52638,26382,3212,26250,18204,31250,18382,-,**,26382,3030,31071,8997,21607,7050
8600000US52640,52640,ZCTA5 52640,31111,5844,23000,7715,27917,16562,10750,5590,32300,6559,40000,8115,28167,2052
8600000US52644,52644,ZCTA5 52644,40385,5921,-,**,-,**,-,**,40481,6131,45625,13374,30227,8218
8600000US52646,52646,ZCTA5 52646,27031,8184,3333,2426,-,**,3750,2259,27981,6678,35192,12936,26607,10517
8600000US52647,52647,ZCTA5 52647,31964,8399,25417,15018,-,**,25417,15018,33750,9512,43750,18981,31071,12774
8600000US52649,52649,ZCTA5 52649,30897,3131,37000,24892,50962,3829,20000,18214,30641,4898,36250,13725,22019,8783
8600000US52650,52650,ZCTA5 52650,37440,6837,46083,2031,46083,2031,-,**,35595,9705,39500,7841,24375,7741
8600000US52655,52655,ZCTA5 52655,25619,3032,20152,5117,25938,3230,16250,6056,27055,4636,31481,5142,24278,3614
8600000US52657,52657,ZCTA5 52657,28750,5834,-,**,-,**,-,**,29000,6686,28750,14205,29000,5242
8600000US52659,52659,ZCTA5 52659,31395,2817,14583,10880,17500,12945,14250,14192,32064,2997,35875,3884,28229,3318
8600000US52720,52720,ZCTA5 52720,31691,2817,28750,23136,-,**,16250,11964,31700,2870,33618,11458,30833,1754
8600000US52726,52726,ZCTA5 52726,42057,4802,70574,21430,72250,12044,49107,15270,41259,2884,53159,5095,30845,4675
8600000US52728,52728,ZCTA5 52728,30446,3219,21579,3238,-,**,-,**,30906,3174,36987,5202,25054,11336
8600000US52730,52730,ZCTA5 52730,34306,8896,31167,19036,31167,18305,-,**,34861,9668,46206,8988,25779,4615
8600000US52737,52737,ZCTA5 52737,27353,7223,21250,10113,19375,4768,27500,11601,29063,5448,30885,3059,26000,4313
8600000US52738,52738,ZCTA5 52738,30400,1962,40197,9865,35375,11553,41316,10929,30244,2575,32485,3286,21574,1455
8600000US52739,52739,ZCTA5 52739,25000,2810,25625,4011,27125,13066,"2,500-",***,24816,3192,34444,10292,23355,3582
8600000US52745,52745,ZCTA5 52745,35417,11499,10500,2442,-,**,10500,2442,37500,10939,46607,6984,21389,15918
8600000US52751,52751,ZCTA5 52751,34205,7988,50417,16573,50556,10485,-,**,32955,8433,44625,5983,26902,5064
8600000US52752,52752,ZCTA5 52752,30500,5493,51250,17617,-,**,-,**,30000,6448,36528,9286,24250,2491
8600000US52756,52756,ZCTA5 52756,34250,8705,26250,19648,26250,9729,-,**,34875,8377,44735,13582,27549,2663
8600000US52760,52760,ZCTA5 52760,36875,24737,-,**,-,**,-,**,35446,23875,47656,39684,35268,20037
8600000US52761,52761,ZCTA5 52761,29326,2421,18226,10189,28750,9445,13158,5390,30170,2141,38615,2728,22183,1625
8600000US52769,52769,ZCTA5 52769,34265,5053,44444,10105,44444,10105,-,**,32179,3423,53393,20494,30184,2297
8600000US52776,52776,ZCTA5 52776,30215,3065,25481,3484,21667,3007,26667,11859,30415,2549,31447,3288,26184,4320
8600000US52778,52778,ZCTA5 52778,32833,4743,26364,13499,28571,22951,21750,13801,34100,5408,45354,7101,26979,3544
8600000US52801,52801,ZCTA5 52801,31688,10679,-,**,-,**,-,**,32156,12510,41125,16825,24286,14971
8600000US52802,52802,ZCTA5 52802,23595,2387,13506,2737,15152,3188,11900,963,24814,2177,31364,2765,20023,2160
8600000US52803,52803,ZCTA5 52803,27006,1376,13609,4232,9157,3961,15536,5775,27836,2102,32309,2590,22849,2704
8600000US52804,52804,ZCTA5 52804,30545,1457,15104,6907,15385,8217,12171,10059,31079,1300,36499,2041,25650,2137
8600000US52806,52806,ZCTA5 52806,30932,1196,18148,8531,10875,8436,22923,8655,31705,1247,42173,4410,25136,1835
8600000US53001,53001,ZCTA5 53001,37601,3343,41042,8229,42292,6981,23750,16412,37434,3322,49063,5254,26413,4423
